timestamp,symbol,open,high,low,close,volume,amount
2026-09-02 09:35:00,002256.SZ,3.38,3.39,3.34,3.35,4132100,13885017.00
2026-09-02 09:40:00,002256.SZ,3.34,3.35,3.33,3.34,2640800,8811065.00
2026-09-02 09:45:00,002256.SZ,3.34,3.35,3.33,3.34,1764300,5890851.00
2026-09-02 09:50:00,002256.SZ,3.34,3.38,3.34,3.37,1908000,6410155.00
2026-09-02 09:55:00,002256.SZ,3.38,3.38,3.36,3.37,762900,2566019.00
2026-09-02 10:00:00,002256.SZ,3.37,3.38,3.36,3.37,1049100,3540045.00
2026-09-02 10:05:00,002256.SZ,3.37,3.38,3.35,3.35,529300,1779688.00
2026-09-02 10:10:00,002256.SZ,3.35,3.36,3.34,3.34,863700,2894111.00
2026-09-02 10:15:00,002256.SZ,3.35,3.35,3.34,3.35,434200,1452645.00
2026-09-02 10:20:00,002256.SZ,3.35,3.36,3.34,3.35,734200,2459698.00
2026-09-02 10:25:00,002256.SZ,3.35,3.35,3.34,3.35,814400,2721728.00
2026-09-02 10:30:00,002256.SZ,3.34,3.36,3.34,3.35,425800,1427534.00
2026-09-02 10:35:00,002256.SZ,3.35,3.36,3.35,3.35,231000,774049.00
2026-09-02 10:40:00,002256.SZ,3.35,3.36,3.34,3.35,166500,558186.00
2026-09-02 10:45:00,002256.SZ,3.34,3.36,3.34,3.36,213000,713965.00
2026-09-02 10:50:00,002256.SZ,3.36,3.36,3.35,3.35,88600,297127.00
2026-09-02 10:55:00,002256.SZ,3.35,3.36,3.35,3.35,413700,1386086.00
2026-09-02 11:00:00,002256.SZ,3.35,3.35,3.34,3.34,56900,190280.00
2026-09-02 11:05:00,002256.SZ,3.34,3.35,3.34,3.35,156100,522287.00
2026-09-02 11:10:00,002256.SZ,3.34,3.35,3.34,3.34,159800,534128.00
2026-09-02 11:15:00,002256.SZ,3.34,3.35,3.34,3.34,174400,582751.00
2026-09-02 11:20:00,002256.SZ,3.34,3.35,3.34,3.35,109600,366844.00
2026-09-02 11:25:00,002256.SZ,3.35,3.36,3.34,3.35,370000,1239200.00
2026-09-02 11:30:00,002256.SZ,3.36,3.36,3.35,3.36,89100,298883.00
2026-09-02 13:05:00,002256.SZ,3.35,3.36,3.34,3.34,396600,1328539.00
2026-09-02 13:10:00,002256.SZ,3.35,3.36,3.34,3.35,582200,1950493.00
2026-09-02 13:15:00,002256.SZ,3.34,3.36,3.34,3.35,343700,1149732.00
2026-09-02 13:20:00,002256.SZ,3.35,3.36,3.35,3.35,741200,2483100.00
2026-09-02 13:25:00,002256.SZ,3.35,3.35,3.34,3.35,254400,850313.00
2026-09-02 13:30:00,002256.SZ,3.35,3.37,3.34,3.37,679800,2282142.00
2026-09-02 13:35:00,002256.SZ,3.36,3.37,3.35,3.35,132400,444891.00
2026-09-02 13:40:00,002256.SZ,3.35,3.36,3.35,3.35,99300,333092.00
2026-09-02 13:45:00,002256.SZ,3.35,3.36,3.35,3.35,181500,609329.00
2026-09-02 13:50:00,002256.SZ,3.36,3.37,3.35,3.37,204500,686122.00
2026-09-02 13:55:00,002256.SZ,3.36,3.37,3.35,3.36,193600,650495.00
2026-09-02 14:00:00,002256.SZ,3.35,3.37,3.35,3.37,209400,703535.00
2026-09-02 14:05:00,002256.SZ,3.36,3.37,3.35,3.35,173600,583369.00
2026-09-02 14:10:00,002256.SZ,3.35,3.37,3.35,3.36,545200,1831872.00
2026-09-02 14:15:00,002256.SZ,3.36,3.36,3.35,3.36,121700,408691.00
2026-09-02 14:20:00,002256.SZ,3.36,3.36,3.35,3.36,218200,732727.00
2026-09-02 14:25:00,002256.SZ,3.36,3.36,3.35,3.35,113900,382101.00
2026-09-02 14:30:00,002256.SZ,3.35,3.36,3.35,3.35,119300,400057.00
2026-09-02 14:35:00,002256.SZ,3.35,3.36,3.35,3.35,292600,981814.00
2026-09-02 14:40:00,002256.SZ,3.36,3.36,3.35,3.36,201500,675829.00
2026-09-02 14:45:00,002256.SZ,3.35,3.36,3.35,3.35,595400,1997810.00
2026-09-02 14:50:00,002256.SZ,3.35,3.36,3.35,3.35,432100,1448648.00
2026-09-02 14:55:00,002256.SZ,3.35,3.36,3.35,3.36,514200,1724857.00
2026-09-02 15:00:00,002256.SZ,3.35,3.36,3.35,3.35,1163900,3903560.00
